academic_year,month,hourly_range_min_m3h,hourly_range_max_m3h,hourly_avg_m3h,hourly_std_dev,hourly_median_m3h,hourly_factor_Nh,daily_range_min_m3d,daily_range_max_m3d,daily_avg_m3d,daily_std_dev,daily_median_m3d,daily_factor_Nd
2012/13,10,6.1,65.9,32.8,13.8,34.2,1.45,587.8,992.3,787,132.3,816.1,1.26
2013/14,10,4.5,59.1,27.2,13.5,29.8,1.47,523.8,867.9,697.7,114.3,757.0,1.24
2014/15,10,4.2,68.3,28.2,14.8,28.3,1.89,354.7,866.5,677.6,137.6,729.3,1.28
2015/16,10,6.0,64.4,29.9,6.3,13.6,1.47,282.6,922.2,716.8,150.6,768.2,1.29
2012/13,11,5.7,65.4,31.4,14.8,33.7,1.53,292.0,1029.4,754.4,184.8,821.7,1.36
2013/14,11,5.7,64.9,26.5,13.6,29.0,1.76,253.0,885.8,686.0,170.4,757.4,1.29
2014/15,11,3.4,73.9,26.0,14.7,25.6,1.77,190.8,1001.3,623.9,178.1,645.7,1.6
2015/16,11,4.8,65.3,25.5,5.8,13.0,1.76,284.2,801.6,612.2,140.3,667.0,1.31
2012/13,12,6.4,64.8,27.6,13.8,25.9,1.42,216.8,943.4,663.2,204.1,668.0,1.42
2013/14,12,5.5,60.2,23.6,13.6,24.3,1.48,174.2,880.9,583.5,225.7,618.1,1.51
2014/15,12,4.1,71.3,26.9,44.1,22.2,1.54,312.6,811.5,644.4,150.9,703.3,1.26
2015/16,12,4.1,51.1,20.9,8.3,12.6,1.48,155.0,726.3,501.9,199.8,529.5,1.45
2012/13,1,9.3,55.2,32.0,11.4,32.8,1.5,502.4,883.4,767.7,104.6,810.8,1.15
2013/14,1,4.0,56.1,25.5,11.9,27.7,1.53,387.8,798.0,647.4,131.7,718.8,1.23
2014/15,1,3.9,68.2,25.3,14.2,23.4,1.57,320.42,802.7,608.1,130.2,673.2,1.32
2015/16,1,7.0,68.2,32.6,9.3,13.9,1.53,244.0,1148.0,782.3,223.2,823.0,1.47
2012/13,2,6.6,52.5,25.2,9.9,24.2,1.54,465.6,820.2,604.6,100.3,582.1,1.36
2013/14,2,3.6,49.1,22.3,9.0,24.2,1.5,406.4,740.6,554.9,80.8,542.8,1.33
2014/15,2,5.7,63.3,17.9,10.9,11.5,1.6,289.7,815.9,530.4,90.8,494.8,1.2
2015/16,2,8.5,59.3,28.2,5.0,10.1,1.5,521.0,875.0,619.1,119.1,641.0,1.29
2012/13,3,7.9,56.4,29.5,13.6,33.1,1.6,228.4,848.7,708.7,159.9,781.7,1.2
2013/14,3,4.1,63.7,26.4,12.7,28.0,1.76,476.2,823.1,668.5,100.8,720.6,1.23
2014/15,3,7.5,65.9,28.6,12.9,29.4,1.87,465.9,847.2,687.3,108.6,735.6,1.23
2015/16,3,6.4,59.6,30.1,8.1,13.6,1.76,312.0,937.0,722.7,195.2,782.0,1.3
2012/13,4,6.2,69.3,28.8,13.5,28.8,1.73,254.6,962.1,692,162.2,635.4,1.39
2013/14,4,5.1,64.7,25.7,12.9,25.0,1.76,256.2,882.3,643.3,171.9,665.5,1.37
2014/15,4,7.4,69.5,26.2,14.2,28.0,1.77,260.6,789.2,628.3,188.3,722.1,1.26
2015/16,4,9.0,87.4,35.6,6.2,14.2,1.76,540.0,1155.0,854.2,149.1,914.5,1.35
2012/13,5,7.2,75.3,30.4,13.9,30.4,1.86,307,973.3,730.1,191.2,795.6,1.33
2013/14,5,5.0,63.6,26.6,13.2,28.6,1.82,368.9,835.3,679.0,135.4,749.6,1.23
2014/15,5,8.3,68.5,27.6,13.0,26.5,1.81,329.1,908.1,663.2,159.1,693.1,1.37
2015/16,5,6.6,103.3,37.3,8.7,15.1,2.0,506.0,1320.0,895.8,207.7,912.0,1.47
2012/13,6,9.0,74.3,32.9,12.2,32.4,1.74,597.6,1026.6,790.5,102.5,815.7,1.3
2013/14,6,4.2,61.5,27.6,12.8,28.0,1.57,497.6,942.3,699.2,120.9,732.9,1.35
2014/15,6,7.9,83.9,29.4,13.2,28.0,2.15,370.8,927.8,705.6,137.9,727.9,1.31
2015/16,6,5.4,91.5,36.3,11.8,22.0,1.57,386.0,1190.0,870.5,283.1,1023.0,1.37
2012/13,7,2.3,65.1,27.6,10.7,25.3,1.8,487.1,868.4,661.6,98.0,667.3,1.31
2013/14,7,3.1,56.1,20.0,10.6,22.3,1.85,317.0,679.6,520.3,106.6,528.6,1.31
2014/15,7,5.6,80.2,24.2,13.9,20.4,1.78,300.7,886.1,579.8,151.7,567.8,1.53
2015/16,7,13.2,63.5,30.8,4.1,9.6,1.85,529.0,957.0,740.1,99.5,737.0,1.29
2012/13,8,4.3,46.3,17.8,8.4,16.7,2.36,314.6,545.4,427.2,68.8,420.1,1.28
2013/14,8,3.3,68.0,16.0,9.7,13.4,1.82,263.9,568.1,404.2,74.3,409.3,1.41
2014/15,8,6.3,84.1,24.2,14.1,19.9,1.35,330.1,1492.9,581.2,222.5,549.9,2.57
2015/16,8,11.3,58.7,26.4,3.4,8.1,1.83,501.0,852.0,632.9,81.6,638.0,1.35
2012/13,9,5.1,47.2,19.4,7.4,21.1,1.75,346.5,647.9,470.6,73.7,453.1,1.38
2013/14,9,2.4,59.9,18.8,10.1,21.0,1.92,299.6,719.2,482.1,96.4,467.3,1.49
2014/15,9,5.0,57.3,20.5,9.1,19.5,2.08,371.7,662.0,491.9,79.2,502.2,1.35
2015/16,9,7.4,70.2,29.7,4.8,9.3,1.92,516.0,988.0,711.6,115.6,682.0,1.39
